object_number,trial_a,trial_b,cosine_similarity
1A,trial1_winter_26,trial3_winter_26,0.8194
1B,trial1_winter_26,trial3_winter_26,0.7007
1C,trial1_winter_26,trial3_winter_26,0.7949
1D,trial1_winter_26,trial3_winter_26,0.7851
2A,trial1_winter_26,trial3_winter_26,0.8476
2B,trial1_winter_26,trial3_winter_26,0.7826
2C,trial1_winter_26,trial3_winter_26,0.715
2D,trial1_winter_26,trial3_winter_26,0.8188
2E,trial1_winter_26,trial3_winter_26,0.7113
2F,trial1_winter_26,trial3_winter_26,0.821
3A,trial1_winter_26,trial3_winter_26,0.8945
3B,trial1_winter_26,trial3_winter_26,0.8431
3C,trial1_winter_26,trial3_winter_26,0.7873
3D,trial1_winter_26,trial3_winter_26,0.8622
3E,trial1_winter_26,trial3_winter_26,0.743
4A,trial1_winter_26,trial3_winter_26,0.8783
4B,trial1_winter_26,trial3_winter_26,0.6679
4C,trial1_winter_26,trial3_winter_26,0.6098
4D,trial1_winter_26,trial3_winter_26,0.8461
4E,trial1_winter_26,trial3_winter_26,0.7249
5A,trial1_winter_26,trial3_winter_26,0.7871
5B,trial1_winter_26,trial3_winter_26,0.7321
5C,trial1_winter_26,trial3_winter_26,0.7493
5D,trial1_winter_26,trial3_winter_26,0.8156
6A,trial1_winter_26,trial3_winter_26,0.8472
6B,trial1_winter_26,trial3_winter_26,0.5515
6C,trial1_winter_26,trial3_winter_26,0.8818
6D,trial1_winter_26,trial3_winter_26,0.7516
6E,trial1_winter_26,trial3_winter_26,0.5692
6F,trial1_winter_26,trial3_winter_26,0.8394
7A,trial1_winter_26,trial3_winter_26,0.7781
7B,trial1_winter_26,trial3_winter_26,0.8042
7C,trial1_winter_26,trial3_winter_26,0.692
7D,trial1_winter_26,trial3_winter_26,0.8149
7E,trial1_winter_26,trial3_winter_26,0.7952
