index,trial,object_number
0,trial1_winter_26,1A
1,trial1_winter_26,1B
2,trial1_winter_26,1C
3,trial1_winter_26,1D
4,trial1_winter_26,2A
5,trial1_winter_26,2B
6,trial1_winter_26,2C
7,trial1_winter_26,2D
8,trial1_winter_26,2E
9,trial1_winter_26,2F
10,trial1_winter_26,3A
11,trial1_winter_26,3B
12,trial1_winter_26,3C
13,trial1_winter_26,3D
14,trial1_winter_26,3E
15,trial1_winter_26,4A
16,trial1_winter_26,4B
17,trial1_winter_26,4C
18,trial1_winter_26,4D
19,trial1_winter_26,4E
20,trial1_winter_26,5A
21,trial1_winter_26,5B
22,trial1_winter_26,5C
23,trial1_winter_26,5D
24,trial1_winter_26,6A
25,trial1_winter_26,6B
26,trial1_winter_26,6C
27,trial1_winter_26,6D
28,trial1_winter_26,6E
29,trial1_winter_26,6F
30,trial1_winter_26,7A
31,trial1_winter_26,7B
32,trial1_winter_26,7C
33,trial1_winter_26,7D
34,trial1_winter_26,7E
39,trial3_winter_26,1A
40,trial3_winter_26,1B
41,trial3_winter_26,1C
42,trial3_winter_26,1D
43,trial3_winter_26,2A
44,trial3_winter_26,2B
45,trial3_winter_26,2C
46,trial3_winter_26,2D
47,trial3_winter_26,2E
48,trial3_winter_26,2F
49,trial3_winter_26,3A
50,trial3_winter_26,3B
51,trial3_winter_26,3C
52,trial3_winter_26,3D
53,trial3_winter_26,3E
54,trial3_winter_26,4A
55,trial3_winter_26,4B
56,trial3_winter_26,4C
57,trial3_winter_26,4D
58,trial3_winter_26,4E
59,trial3_winter_26,5A
60,trial3_winter_26,5B
61,trial3_winter_26,5C
62,trial3_winter_26,5D
63,trial3_winter_26,6A
64,trial3_winter_26,6B
65,trial3_winter_26,6C
66,trial3_winter_26,6D
67,trial3_winter_26,6E
68,trial3_winter_26,6F
69,trial3_winter_26,7A
70,trial3_winter_26,7B
71,trial3_winter_26,7C
72,trial3_winter_26,7D
73,trial3_winter_26,7E
